file,check,severity,detail
../../data/raw/train/CarLongPlateGen3358_jpg.rf.ae6d6dd2cf1af923e7780f03c716ee34.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3358_jpg.rf.561bc5fac59e94da2c0c775269e97aa7.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2750_jpg.rf.16876a1bd72ac140e8c37fae7b0ec328.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2769_jpg.rf.ff572040c80668cfbf0df66a282fefc9.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2769_jpg.rf.e68c719d1f34cf5ab56d6efdd0d70c9a.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3465_jpg.rf.c201896c7d06d4c0ea4e878d460a6064.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2750_jpg.rf.644ee86b2f07be8fd1c74e2fe49b9d4a.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2750_jpg.rf.ab8311e84ab60f90b8e69f8aeaa54389.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3465_jpg.rf.aec09ab3b426a6f8924fab3b239fa5b7.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2752_jpg.rf.4171f38eb6c0bea6951aa81746f9c847.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2324_jpg.rf.ab1345e5b6e41770d8a8731df97b6185.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2777_jpg.rf.527bb5a20f3f7139f4c2b8517efffbca.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2761_jpg.rf.dab65f9f9b098a778be745f2cd42a701.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3484_jpg.rf.6ce7506a0d3a513836d0577c1a3a9b24.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3875_jpg.rf.8e1180319796f34dd6b9e7b52f43628d.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2449_jpg.rf.4be5bccd22c4a18ceeffbee58286d3b8.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2506_jpg.rf.3a502d4781493995634bf43ff5d1e987.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/pic_538_jpg.rf.36fd2356cfe855d896d8ddefc231b767.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/Cars75_png_jpg.rf.905daac84824562d60e9f86778938fde.jpg,box_tiny,WARN,rel_area=4.76e-04 (9x5px)
../../data/raw/train/CarLongPlateGen2506_jpg.rf.baa76982fce2c3eeff87acac10e1febe.jpg,box_out_of_bounds,WARN,box exceeds image bounds
